cod_universidad,des_universidad,anio,des_capitulo,des_articulo,des_concepto,des_subconcepto,des_partida,des_seccion,des_servicio,des_unidad_de_coste,des_organica_libre_1,des_organica_libre_2,fecha_referencia,credito_inicial,modificaciones,credito_total,derechos_reconocidos_netos,recaudacion_neta
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,REINTEGROS-DE-OPERACIONES-CORRIENTES,REINTEGROS-DE-EJERCICIOS-CERRADOS,REINTEGROS-DE-EJERCICIOS-CERRADOS,Reintegros-de-Ejercicios-Cerrados,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-CORRIENTES,DE-COMUNIDADES-AUTONOMAS,DE-LA-COMUNIDAD-DE-MADRID,CONSEJERIA-DE-SANIDAD-PLAZAS-VINCULADAS,Consejeria-de-Sanidad-Plazas-Vinculadas,VR-ORD-ACADEMICA,SV-NOM-Y-SS-PDI,no-informado,no-informado,no-informado,2022-01-01T00:00Z,4300000,0,4300000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,REINTEGROS-DE-OPERACIONES-CORRIENTES,REINTEGROS-DE-EJERCICIOS-CERRADOS,REINTEGROS-DE-EJERCICIOS-CERRADOS,Reintegros-de-Ejercicios-Cerrados,VR.PT.ECON-GERENCIA,SV-NOM-Y-SS-P-LAB,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,PRECIOS-PUBLICOS,OTROS-PRECIOS-PUBLICOS,DERECHOS-DE-EXAMEN-EN-OPOSICIONES,Derechos-de-Examen-en-Oposiciones,VR.PT.ECON-GERENCIA,SV-NOM-Y-SS-P-FUN,no-informado,no-informado,no-informado,2022-01-01T00:00Z,150000,0,150000,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,REINTEGROS-DE-OPERACIONES-CORRIENTES,REINTEGROS-DE-EJERCICIOS-CERRADOS,REINTEGROS-DE-EJERCICIOS-CERRADOS,Reintegros-de-Ejercicios-Cerrados,VR.PT.ECON-GERENCIA,SV-NOM-Y-SS-P-FUN,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS-PROCEDENTES-DE-PRESTACION-SERVICIOS,ACTIVIDADES-DEPORTIVAS,ACTIVIDADES-DEPORTIVAS,Actividades-Deportivas,VR.PT.ECON-GERENCIA,SV-ACCION-SOCIAL,no-informado,no-informado,no-informado,2022-01-01T00:00Z,335000,0,335000,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ALQUILER-DE-VIVIENDAS-A-PERSONAL-DOCENTE,Alquiler-de-Viviendas-a-Personal-Docente,VR.PT.ECON-GERENCIA,SV-ACCION-SOCIAL,no-informado,no-informado,no-informado,2022-01-01T00:00Z,170000,0,170000,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,OTROS-INGRESOS-PATRIMONIALES,CANONES,CANON-ACTIVIDADES-DEPORTIVAS,Canon-Actividades-Deportivas,VR.PT.ECON-GERENCIA,SV-ACCION-SOCIAL,no-informado,no-informado,no-informado,2022-01-01T00:00Z,1800,0,1800,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-CORRIENTES,DE-EMPRESAS-PRIVADAS,DE-EMPRESAS-PRIVADAS,PATROCINIOS,Patrocinios,VR.PT.ECON-GERENCIA,ADM-SERV-CENTRALES,no-informado,no-informado,no-informado,2022-01-01T00:00Z,3550000,0,3550000,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ALQUILER-OTROS-PRODUCTOS-DE-INMUEBLES,Alquiler-Otros-Productos-de-Inmuebles,VR.PT.ECON-GERENCIA,ADM-SERV-CENTRALES,no-informado,no-informado,no-informado,2022-01-01T00:00Z,0,0,0,0,0
010,Universidad-Complutense-de-Madrid,2022,INGRESOS-PATRIMONIALES,RENTAS-DE-BIENES-INMUEBLES,ALQUILER-Y-PRODUCTOS-DE-INMUEBLES,ALQUILER-DE-AULAS-Y-SALONES-DE-ACTOS,Alquiler-de-Aulas-y-Salones-de-Actos,VR.PT.ECON-GERENCIA,JARDIN-BOTANICO,no-informado,no-informado,no-informado,2022-01-01T00:00Z,40000,0,40000,0,0
010,Universidad-Complutense-de-Madrid,2022,TRANSFERENCIAS-DE-CAPITAL,DE-COMUNIDADES-AUTONOMAS,DE-LA-COMUNIDAD-DE-MADRID,CONSEJERIA-EDUCACION---PLAN-DE-INVERSIONES,Consejeria-Educacion---Plan-de-Inversiones,VR.PT.ECON-GERENCIA,SV-COORD-OBRAS-Y-M,no-informado,no-informado,no-informado,2022-01-01T00:00Z,2336250,0,2336250,0,0
010,Universidad-Complutense-de-Madrid,2022,TASAS-PRECIOS-PUBLICOS-Y-OTROS-INGRESOS,OTROS-INGRESOS-PROCEDENTES-DE-PRESTACION-SERVICIOS,OTROS-INGRESOS-POR-PRESTACION-DE-SERVICIOS,OTROS-INGRESOS-POR-PRESTACION-DE-SERVICIIOS,Otros-Ingresos-por-Prestacion-de-Serviciios,VR.PT.ECON-GERENCIA,SV-SEGUIMIENTO-CONT,no-informado,no-informado,no-informado,2022-01-01T00:00Z,416612.49,0,416612.49,0,0
